Pulled,Restaurant,Park,Item,Category,MealPeriods,Description,Price,Source
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Moet & Chandon Cuvee Dom Perignon Brut, Epernay",Sparkling and Wines,Lunch; Dinner; Special,,590.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Comte de la Chevalière Sancerre, Loire",Sparkling and Wines,Lunch; Dinner; Special,"Comte de la Chevalière Sancerre, Loire",56.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Saracco Moscato d'Asti, Piedmont",Sparkling and Wines,Lunch; Dinner; Special,,74.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Veuve Clicquot Ponsardin Brut Yellow Label, Reims",Sparkling and Wines,Lunch; Dinner; Special,,147.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"King Estate Pinot Gris, Willamette Valley",Sparkling and Wines,Lunch; Dinner; Special,,67.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Kurt Russell's GoGi Wines Goldie Chardonnay, Sta. Rita Hills",Sparkling and Wines,Lunch; Dinner; Special,,115.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Belle Glos Las Alturas Pinot Noir, Santa Lucia Highlands",Sparkling and Wines,Lunch; Dinner; Special,,105.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Joseph Drouhin Bourgogne Pinot Noir, Burgundy",Sparkling and Wines,Lunch; Dinner; Special,,62.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"The Prisoner Red Blend, Napa Valley",Sparkling and Wines,Lunch; Dinner; Special,,115.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Simi Cabernet Sauvignon, Alexander Valley",Sparkling and Wines,Lunch; Dinner; Special,,79.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Silverado Vineyards Cabernet Sauvignon, Napa Valley",Sparkling and Wines,Lunch; Dinner; Special,,98.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Silver Oak Cabernet Sauvignon, Alexander Valley",Sparkling and Wines,Lunch; Dinner; Special,,198.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,Angry Orchard Crisp Apple Hard Cider,Beer and Cider,Lunch; Dinner; Special,"This cider has a bright, crisp apple flavor, just like biting into a fresh apple. It is a perfect balance of sweetness and bright acidity from culinary apples and dryness of traditional cider making apples, resulting in a complex, yet refreshing, hard cider",10.50,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Stella Artois Lager, Belgium",Beer and Cider,Lunch; Dinner; Special,Well-balanced blonde Belgian lager beer with a floral hop aroma and a soft dry finish,11.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Kronenbourg 1664 Pale Lager, France",Beer and Cider,Lunch; Dinner; Special,"A lager with a noble history, characterized by its fine taste, golden hues, and delicate bitterness from Strisselspalt, a French aroma hop from Alsace",11.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Saison Dupont Belgian Farmhouse Ale, Belgium",Beer and Cider,Lunch; Dinner; Special,"Refreshing farmhouse ale with flavors of orange peel, clove, allspice, and citrus with a wonderfully fresh hop bouquet",12.75,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Cigar City Jai Alai IPA, Tampa, Florida",Beer and Cider,Lunch; Dinner; Special,Bold orange peel and hop flavors with a hint of caramel and a rich malt character on the finish,11.50,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Chimay Grand Reserve Ale, Belgium",Beer and Cider,Lunch; Dinner; Special,"Dark Belgian Strong Ale brewed by Trappist monks. Aromas of spice and dried fruit with light caramel notes. Body is smooth and luscious with hoppy, sourdough flavors. Fresh yeast provides a rosy, floral touch",15.25,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Schöfferhofer Grapefruit Hefeweizen, Germany",Beer and Cider,Lunch; Dinner; Special,A crisp and refreshing blend of Schöfferhofer Hefeweizen beer and natural carbonated grapefruit flavor for a zesty and fizzy taste experience,12.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,Apple Cider Margarita (Party Exclusive),Specialty Cocktails ,Special,"Teremana Blanco Tequila, Grand Marnier Liqueur, and Apple Cider",18.50,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,Castle Fog (Party Exclusive),Specialty Cocktails ,Special,"Empress 1908 Gin, Bols Blackberry Liqueur, Lemon Juice, and Cane Syrup",17.50,magic-kingdom/be-our-guest-restaurant
